docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,,context,context,no,100.0,116.0,Q105742469;Q108178728;Q15042037;Q1549591;Q2264924,big city;national capital;legislative capital;statistical territorial entity;port city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q32042422,,,context,context,no,100.0,115.0,Q2042028,ravine
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,,context,context,no,100.0,113.0,Q1549591;Q2264924;Q515;Q56036687,city;port city;municipality of Mozambique;big city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,sécurité,Q1470670,,,context,context,no,87.5,103.5,Q2355426,distress signal
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > economic activity,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > construction,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > urban planning > spatial planning,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > initiative > action,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > initiative > voluntary action,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,government program > project > planned process,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Business Improvement Districts,Business improvement districts,Q105547388,,,context,context,no,93.3,109.0,Q105547310,business support scheme
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Corrosion,Corrosion,Q5173028,,,context,context,no,100.0,112.0,Q169930,extended play
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Ni-MH batteries,,,,,none,none,no,0.0,0.0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Raman micro spectroscopy,,,,,none,none,no,0.0,0.0,,
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Gurunsi > Gur > Volta–Congo,exact_label,exact_label,no,100.0,50.0,Q1288568;Q34770,language;modern language
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Gurunsi > Gur > Niger–Congo,exact_label,exact_label,no,100.0,50.0,Q1288568;Q34770,language;modern language
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Combination of techniques,,,,,none,none,no,0.0,0.0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Stability,Stability,Q7595719,,,context,context,no,100.0,111.0,Q7725634,literary work
1026130,Change and stability interaction processes in SMEs: a comparative case study,Small firms,,,,,none,none,no,0.0,0.0,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Mexico,Mexico,Q3710682,,,context,context,no,100.0,141.0,Q15127012;Q486972,human settlement;town in the United States
1026130,Change and stability interaction processes in SMEs: a comparative case study,ISO 9000 series,ISO 9000 series,Q206008,,,context,context,no,100.0,114.0,Q15087423,ISO standard
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > engineering > applied science,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > coordination,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > control,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,industrial engineering and management > management > control,context,context,no,94.1,113.5,,
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change,Change,Q1173443,15273058p,,context,context,no,100.0,112.0,Q484170,commune of France
1026130,Change and stability interaction processes in SMEs: a comparative case study,Case studies,Case studies,Q135402362,,,context,context,no,100.0,112.0,Q1980247,chapter
1052672,Belief functions in telecommunications and network technologies: an overview,THEORIE DES PROBABILITES,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1052672,Belief functions in telecommunications and network technologies: an overview,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1053257,Belief functions and uncertainty management in networks and telecommunication,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
