docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,lineage_path,retry_source,match_stage,is_disambiguation
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,3D numerical simulations,"3D numerical simulations of negative hydrogen ion extraction using realistic plasma parameters, geometry of the extraction aperture and full 3D magnetic field map",Q87399847,,"3D numerical simulations of negative hydrogen ion extraction using realistic plasma parameters, geometry of the extraction aperture and full 3D magnetic field map > scholarly article > scientific publication > publication",context,context,no
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Design of experiments,design of experiments,Q2334061,11939604p,design of experiments > field of study > knowledge system > conceptual system,context,context,no
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,France > sovereign state > state > community,context,context,no
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,university > type of educational institution > type > class,context,context,no
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,governance,Q1553864,,governance > type of regulation and control > type > class,context,context,no
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Component mode synthesis,Component mode synthesis with constant mass and stiffness matrices applied to flexible multibody systems,Q109479009,,Component mode synthesis with constant mass and stiffness matrices applied to flexible multibody systems > scholarly article > scientific publication > publication,context,context,no
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Dynamic substructuring,dynamic substructuring,Q25112238,,dynamic substructuring,context,context,no
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Flexible interface,Flexible interface between a baseband controller and remote units of a C-RAN,Q122681046,,Flexible interface between a baseband controller and remote units of a C-RAN > United States patent > patent > intellectual property,context,context,no
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational mechanics,context,context,no
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,,none,no
1021415,A simple game generator for creating audio/tactile games,Computer game,Computer Games Distribution,Q39247403,,Computer Games Distribution > business company > organization > person or organization,context,context,no
1021415,A simple game generator for creating audio/tactile games,Game authoring tool,,,,,,none,no
1021415,A simple game generator for creating audio/tactile games,Blind,Blind,Q60328,,Blind > album > release group > group,context,context,no
1021415,A simple game generator for creating audio/tactile games,Visually disabled,person with visual disabilities,Q16649002,11949529z,person with visual disabilities,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,Security Governance and the Politics of State Transformation: Moving From Description to Explanation,Q129579796,,Security Governance and the Politics of State Transformation: Moving From Description to Explanation > scholarly article > scientific publication > publication,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,"Neoliberalization, uneven development, and Brexit: further reflections on the organic crisis of the British state and society",Q129495202,,"Neoliberalization, uneven development, and Brexit: further reflections on the organic crisis of the British state and society > scholarly article > scientific publication > publication",context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Circulation of models,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Gated residential development,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,City Improvement District,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Southern Africa,Southern Africa,Q27394,162726316,Southern Africa > cultural region > region > geographical feature,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Johannesburg,Johannesburg,Q34647,11947620n,Johannesburg > city > urban settlement > urban area,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,Cape Town > port city > maritime settlement > human settlement,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q135432694,,Windhoek > street > transport infrastructure > infrastructure,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,Maputo > city > urban settlement > urban area,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,"Neoliberalisation of Security, Austerity and the ‘End of Public Policy’: Governing Crime in Memphis (TN, USA) Through Predictive Policing, Community, Grants and Police ‘Mission Creep’",Q108536842,,"Neoliberalisation of Security, Austerity and the ‘End of Public Policy’: Governing Crime in Memphis (TN, USA) Through Predictive Policing, Community, Grants and Police ‘Mission Creep’ > article > text > record",context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,sécurité,Q1470670,,sécurité > distress signal > signal > sign,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,,none,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,urban renewal > redevelopment > construction > economic activity,context,context,no
1023779,Symposium on Circulation of Security Models in Southern African Cities,Business Improvement Districts,Business improvement districts,Q105547388,,Business improvement districts > business support scheme > government program > initiative,context,context,no
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Corrosion,corrosion,Q137056,11975888z,corrosion > chemical phenomenon > phenomenon > occurrent,context,context,no
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Ni-MH batteries,,,,,,none,no
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Raman micro spectroscopy,Raman micro spectroscopy study of the interaction of vincristine with A549 cells supported by expression analysis of bcl-2 protein,Q39106169,,Raman micro spectroscopy study of the interaction of vincristine with A549 cells supported by expression analysis of bcl-2 protein > scholarly article > scientific publication > publication,context,context,no
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",TEM,Tem,Q36531,12167223r,Tem > language > languoid > abstract entity,context,context,no
1025697,"Identification of a new pseudo-binary hydroxide during calendar corrosion of (La, Mg)2Ni7-type hydrogen storage alloys for Nickel-Metal Hydride batteries",Combination of techniques,Combination of techniques for concentration and identification of microfilariae from peripheral blood,Q50940992,,Combination of techniques for concentration and identification of microfilariae from peripheral blood > scholarly article > scientific publication > publication,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Stability,stability,Q2325497,,stability > type of property > type > class,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Small firms,Small firms and economic transformation in Hungary,Q127696575,,Small firms and economic transformation in Hungary > scholarly article > scientific publication > publication,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Mexico,Mexico,Q178652,,Mexico > city in the United States > municipality in the United States > administrative territorial entity of the United States,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,ISO 9000 series,ISO 9000 series,Q206008,,ISO 9000 series > ISO standard > international standard > technical standard,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change management,change management,Q255144,,change management,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Change,change,Q1150070,,change > philosophical concept > concept > abstract entity,context,context,no
1026130,Change and stability interaction processes in SMEs: a comparative case study,Case studies,Case Studies in Construction Materials,Q50816215,,Case Studies in Construction Materials > academic journal > trade magazine > magazine,context,context,no
1052672,Belief functions in telecommunications and network technologies: an overview,THEORIE DES PROBABILITES,Probability theory. Foundations and applications,Q111487846,,Probability theory. Foundations and applications > scholarly article > scientific publication > publication,context,context,no
1052672,Belief functions in telecommunications and network technologies: an overview,TELECOMMUNICATION,Telecommunication,Q7695840,,Telecommunication > single > release group > group,context,context,no
1052672,Belief functions in telecommunications and network technologies: an overview,RESEAU DE TELECOMMUNICATIONS,telecommunications network,Q1068715,,telecommunications network,context,context,no
1052672,Belief functions in telecommunications and network technologies: an overview,INCERTITUDE,Incertitude,Q106179101,,"Incertitude > version, edition or translation > publication > release",context,context,no
1053257,Belief functions and uncertainty management in networks and telecommunication,TELECOMMUNICATION,Telecommunication,Q7695840,,Telecommunication > single > release group > group,context,context,no
1053257,Belief functions and uncertainty management in networks and telecommunication,INCERTITUDE,Incertitude,Q106179101,,"Incertitude > version, edition or translation > publication > release",context,context,no
1053257,Belief functions and uncertainty management in networks and telecommunication,RESEAU DE TELECOMMUNICATIONS,telecommunications network,Q1068715,,telecommunications network,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Pharmacokinetic,Pharmacokinetic Comparison of Advate rAHF-PFM With Recombinate rAHF in Patients With Severe Hemophilia A,Q64048634,,Pharmacokinetic Comparison of Advate rAHF-PFM With Recombinate rAHF in Patients With Severe Hemophilia A > clinical trial > product testing > test,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Mathematical modeling,Mathematical Modeling of Inositol Trisphosphate Receptor and Calcium Oscillations in Airway Smooth Muscle Cells,Q112904730,,Mathematical Modeling of Inositol Trisphosphate Receptor and Calcium Oscillations in Airway Smooth Muscle Cells > doctoral thesis > thesis > academic work,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Ribavirin,ribavirin,Q421862,,ribavirin > type of chemical entity > chemical entity > ordinary matter,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Pegylated-interferon,Pegylated Interferon (PEG-IFN) Alfa-2b and Low Dose Ribavirin for the Treatment of Chronic Hepatitis C Patients With Genotype 1 High Viral Load and Low Body Weight (Study P05172)(COMPLETED),Q64045644,,Pegylated Interferon (PEG-IFN) Alfa-2b and Low Dose Ribavirin for the Treatment of Chronic Hepatitis C Patients With Genotype 1 High Viral Load and Low Body Weight (Study P05172)(COMPLETED) > clinical trial > product testing > test,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Protease inhibitor,protease inhibitor,Q55761529,,protease inhibitor > drug class > class > class,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Hepatitis C virus,Hepatitis C virus,Q708693,,Hepatitis C virus > taxon > group or class of living things > group or class of physical objects,context,context,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Non-linear mixed effect models,,,,,,none,no
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Early viral kinetics,Early viral kinetics and treatment outcome in combination of high-dose interferon induction vs. pegylated interferon plus ribavirin for naive patients infected with hepatitis C virus of genotype 1b and high viral load.,Q42988882,,Early viral kinetics and treatment outcome in combination of high-dose interferon induction vs. pegylated interferon plus ribavirin for naive patients infected with hepatitis C virus of genotype 1b and high viral load. > scholarly article > scientific publication > publication,context,context,no
1060481,π-Conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,20902069,,,,,,none,no
1060481,π-Conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,Nsfc,,,,,,none,yes
1060481,π-Conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,National natural science foundation of china,National Natural Science Foundation of China,Q4501917,,National Natural Science Foundation of China > funding body > nonprofit organization > organization,context,context,no
1060481,π-Conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,21074094,,,,,,none,no
1060481,π-Conjugated sulfonium-based photoacid generators: an integrated molecular approach for efficient one and two-photon polymerization,51173134,,,,,,none,no
1061949,Reduced-order model for the dynamical analysis of complex structures with a high modal density,Reduced-order model,"Reduced-order models for nonlinear vibrations, based on natural modes: the case of the circular cylindrical shell",Q44052248,,"Reduced-order models for nonlinear vibrations, based on natural modes: the case of the circular cylindrical shell > scholarly article > scientific publication > publication",context,context,no
1061949,Reduced-order model for the dynamical analysis of complex structures with a high modal density,Structural dynamics,structural dynamics,Q811197,,structural dynamics > academic discipline > field of study > knowledge system,context,context,no
1061949,Reduced-order model for the dynamical analysis of complex structures with a high modal density,High modal density,,,,,,none,no
1061949,Reduced-order model for the dynamical analysis of complex structures with a high modal density,ROM,Holy Roman Empire,Q12548,119892069,Holy Roman Empire > sovereign state > state > community,context,context,no
1064345,Modelling the time fluctuation of indoor air formaldehyde concentrations: variability structure identification and forecasting using non linear models,Formaldehyde,Formaldehyde,Q14922294,,Formaldehyde > single > release group > group,context,context,no
1064345,Modelling the time fluctuation of indoor air formaldehyde concentrations: variability structure identification and forecasting using non linear models,Clustering,clustering,Q5136710,,clustering,context,context,no
1064345,Modelling the time fluctuation of indoor air formaldehyde concentrations: variability structure identification and forecasting using non linear models,Forecasting,forecasting,Q7216332,,forecasting,context,context,no
1064345,Modelling the time fluctuation of indoor air formaldehyde concentrations: variability structure identification and forecasting using non linear models,SOTA,Sota,Q4192045,,Sota > distrik > third-level administrative country subdivision in Indonesia > administrative territorial entity of Indonesia,context,context,no
1064345,Modelling the time fluctuation of indoor air formaldehyde concentrations: variability structure identification and forecasting using non linear models,SETAR,setar,Q1544746,,setar > type of musical instrument > type > class,context,context,no
1064711,Turing degree spectra of minimal subshifts,Minimal subshift,,,,,,none,no
1064711,Turing degree spectra of minimal subshifts,Spectra,Spectra,Q20873111,,Spectra > album > release group > group,context,context,no
1064711,Turing degree spectra of minimal subshifts,Cone,cone,Q42344,,cone,context,context,no
1064711,Turing degree spectra of minimal subshifts,Subshift,SUBSHIFT,Q106637555,,SUBSHIFT > human > mammal > vertebrate,context,context,no
1064711,Turing degree spectra of minimal subshifts,Turing degree,Turing degree,Q1527413,,Turing degree > mathematical concept > concept > abstract entity,context,context,no
1064801,"Nucleophilic or Electrophilic Interactions of C2 with HX systems (X=F, Cl, Br)",Potential curves,Potential curves and rovibrational energies for electronic states of the molecular ion KCs+,Q58178121,,Potential curves and rovibrational energies for electronic states of the molecular ion KCs+ > scholarly article > scientific publication > publication,context,context,no
1064801,"Nucleophilic or Electrophilic Interactions of C2 with HX systems (X=F, Cl, Br)",Long range interactions,Long range interactions between object-motion and self-motion in the perception of movement in depth,Q52957223,,Long range interactions between object-motion and self-motion in the perception of movement in depth > scholarly article > scientific publication > publication,context,context,no
1064801,"Nucleophilic or Electrophilic Interactions of C2 with HX systems (X=F, Cl, Br)",Ab-initio calculations,Ab Initio Calculations of X-ray Spectra: Atomic Multiplet and Molecular Orbital Effects in a Multiconfigurational SCF Approach to the L-Edge Spectra of Transition Metal Complexes.,Q52885856,,Ab Initio Calculations of X-ray Spectra: Atomic Multiplet and Molecular Orbital Effects in a Multiconfigurational SCF Approach to the L-Edge Spectra of Transition Metal Complexes. > scholarly article > scientific publication > publication,context,context,no
1064801,"Nucleophilic or Electrophilic Interactions of C2 with HX systems (X=F, Cl, Br)",Hydrogen halides,,,,,,none,no
1065102,School evaluation and educating States : trends in four European countries,School Evaluation,"School Evaluation Case Files Relating to the ""University Year for ACTION"" (NAID 1667924)",Q64478107,,"School Evaluation Case Files Relating to the ""University Year for ACTION"" (NAID 1667924) > collection > artificial object > object",context,context,no
1065102,School evaluation and educating States : trends in four European countries,Education Policies,"Education policies and health inequalities: evidence from changes in the distribution of Body Mass Index in France, 1981-2003.",Q43752766,,"Education policies and health inequalities: evidence from changes in the distribution of Body Mass Index in France, 1981-2003. > scholarly article > scientific publication > publication",context,context,no
1065102,School evaluation and educating States : trends in four European countries,France,France,Q5478259,,France > constituency of the European Parliament > electoral unit > administrative territorial entity,context,context,no
1065102,School evaluation and educating States : trends in four European countries,England,England,Q21,11930575r,England > constituent country of the United Kingdom > administrative territorial entity of the United Kingdom > administrative territorial entity of a single country,context,context,no
1065102,School evaluation and educating States : trends in four European countries,Scotland,Scotland,Q22,,Scotland > constituent country of the United Kingdom > administrative territorial entity of the United Kingdom > administrative territorial entity of a single country,context,context,no
1065102,School evaluation and educating States : trends in four European countries,Switzerland,Switzerland,Q39,11868612h,Switzerland > state > community > social group,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Friction,friction,Q82580,11941523z,friction,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Uncertainty,uncertainty,Q13649246,125678860,uncertainty > academic discipline > field of study > knowledge system,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Microslip,Microslips as precursors of large slip events in the stick-slip dynamics of sheared granular layers: A discrete element model analysis,Q60712875,,Microslips as precursors of large slip events in the stick-slip dynamics of sheared granular layers: A discrete element model analysis > scholarly article > scientific publication > publication,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Stochastic process,stochastic process,Q176737,119326416,stochastic process > mathematical concept > concept > abstract entity,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Maximum entropy,maximum entropy,Q106416338,,maximum entropy,context,context,no
1066522,Maximum entropy modeling of discrete uncertain properties with application to friction,Simulation,simulation,Q45045,,simulation,context,context,no
1067996,In situ analysis of Titan's tholins by Laser 2 steps Desorption Ionisation,5210 PLANETARY SCIENCES ASTROBIOLOGY Planetary atmospheres,,,,,,none,no
1067996,In situ analysis of Titan's tholins by Laser 2 steps Desorption Ionisation,Clouds,Clouds,Q16155561,,Clouds > single > release group > group,context,context,no
1067996,In situ analysis of Titan's tholins by Laser 2 steps Desorption Ionisation,And hazes,,,,,,none,no
1067996,In situ analysis of Titan's tholins by Laser 2 steps Desorption Ionisation,5405 PLANETARY SCIENCES SOLID SURFACE PLANETS Atmospheres,,,,,,none,no
1067996,In situ analysis of Titan's tholins by Laser 2 steps Desorption Ionisation,0305 ATMOSPHERIC COMPOSITION AND STRUCTURE Aerosols and particles,,,,,,none,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Adaptive MCMC algorithms,,,,,,none,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Bayesian model,Bayesian model reduction,Q55605061,,Bayesian model reduction,context,context,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Entropy,Entropy,Q4117933,,Entropy,context,context,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Kullback divergence,,,,,,none,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Metropolis-Hastings algorithm,Metropolis-Hastings algorithm for extracting periodic gravitational wave signals from laser interferometric detector data,Q59451666,,Metropolis-Hastings algorithm for extracting periodic gravitational wave signals from laser interferometric detector data > scholarly article > scientific publication > publication,context,context,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Nearest neighbor estimation,Nearest-Neighbor Estimation for ROC Analysis under Verification Bias,Q86945669,,Nearest-Neighbor Estimation for ROC Analysis under Verification Bias > scholarly article > scientific publication > publication,context,context,no
1068081,The Nearest Neighbor entropy estimate: an adequate tool for adaptive MCMC evaluation,Nonparametric statistic,"Nonparametric statistical inference method for partial areas under receiver operating characteristic curves, with application to genomic studies",Q81682875,,"Nonparametric statistical inference method for partial areas under receiver operating characteristic curves, with application to genomic studies > scholarly article > scientific publication > publication",context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Grain boundary,grain boundary,Q900515,11978624w,grain boundary,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Alumina,Alumina miniplant operations--removal of iron from aluminum nitrate pregnant liquor by solvent extraction,Q26358341,,Alumina miniplant operations--removal of iron from aluminum nitrate pregnant liquor by solvent extraction > scientific publication > publication > release,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Bicrystal,Bicrystal studies of high transition temperature superconductors,Q60299387,,Bicrystal studies of high transition temperature superconductors > scholarly article > scientific publication > publication,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Plasticity,plasticity,Q472074,119331501,plasticity > mechanical property > physical property > physico-chemical property,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Dislocations,Dislocations,Q110893377,,Dislocations > art exhibition > exhibition > spatio-temporal entity,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Dissociation,dissociation,Q18663,,dissociation > defence mechanism > behavior > pattern,context,context,no
1068317,Analysis of dissociated dislocations in a deformed bicrystal close to the rhombohedral twin orientation in -alumina,Transmission electron microscopy,transmission electron microscopy,Q110779037,,transmission electron microscopy,context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Accelerograms,"Accelerograms recorded at USGS National Strong-Motion Network stations during the Ms=6.6 Northridge, California earthquake of January 17, 1994",Q96631782,,"Accelerograms recorded at USGS National Strong-Motion Network stations during the Ms=6.6 Northridge, California earthquake of January 17, 1994 > scholarly article > scientific publication > publication",context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Earthquake,earthquake,Q7944,11933194n,earthquake,context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Stochastic process,stochastic process,Q176737,119326416,stochastic process > mathematical concept > concept > abstract entity,context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Information theory,information theory,Q131222,119321069,information theory > branch of science > field of study > knowledge system,context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Maximum Entropy,maximum entropy,Q106416338,,maximum entropy,context,context,no
1075166,On the use of information theory for the generation of accelerograms compatible with specifications,Generation of Accelerograms,,,,,,none,no
1076408,Consumer responses to elimination of overpackaging on private label products,Overpackaging,Overpackaging,Q109973948,,Overpackaging,context,context,no
1076408,Consumer responses to elimination of overpackaging on private label products,Packaging,Packaging,Q104710367,,Packaging > PM20 subject category > concept > abstract entity,context,context,no
1076408,Consumer responses to elimination of overpackaging on private label products,Private label,private label,Q722080,,private label,context,context,no
1076408,Consumer responses to elimination of overpackaging on private label products,Product image,product image,Q3796664,,product image,context,context,no
1076408,Consumer responses to elimination of overpackaging on private label products,Consumer behaviour,Consumer behaviour and environmental education in the field of waste electrical and electronic toys: a Spanish case study,Q50997023,,Consumer behaviour and environmental education in the field of waste electrical and electronic toys: a Spanish case study > scholarly article > scientific publication > publication,context,context,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Charging,,,,,,none,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Parallel Tempering,parallel tempering,Q7135015,,parallel tempering,context,context,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Electrospray ionisation,"Electrospray ionisation with selected reaction monitoring for the determination of Mn-citrate, Fe-citrate, Cu-citrate and Zn-citrate",Q48539354,,"Electrospray ionisation with selected reaction monitoring for the determination of Mn-citrate, Fe-citrate, Cu-citrate and Zn-citrate > scholarly article > scientific publication > publication",context,context,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Charged droplets,,,,,,none,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Charged clusters,Charged Clusters of C60 and Au or Cu: Evidence for Stable Sizes and Specific Dissociation Channels,Q91817789,,Charged Clusters of C60 and Au or Cu: Evidence for Stable Sizes and Specific Dissociation Channels > scholarly article > scientific publication > publication,context,context,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Coarse-grained models,Coarse-grained models for fluids and their mixtures: Comparison of Monte Carlo studies of their phase behavior with perturbation theory and experiment.,Q46134586,,Coarse-grained models for fluids and their mixtures: Comparison of Monte Carlo studies of their phase behavior with perturbation theory and experiment. > scholarly article > scientific publication > publication,context,context,no
1078652,MCMC2 (version 1.1): A Monte Carlo code for multiply-charged clusters,Monte Carlo simulations,Monte Carlo Simulations,Q63926707,,Monte Carlo Simulations > scholarly article > scientific publication > publication,context,context,no
1078896,Are there Stable Excited Triplet States of NCS-/CNS- and NCO-/CNO-?,Potential energy functions,Potential energy functions,Q40467193,,Potential energy functions > scholarly article > scientific publication > publication,context,context,no
1078896,Are there Stable Excited Triplet States of NCS-/CNS- and NCO-/CNO-?,Excited states,"Excited States of Large Open-Shell Molecules: An Efficient, General, and Spin-Adapted Approach Based on a Restricted Open-Shell Ground State Wave function",Q51242936,,"Excited States of Large Open-Shell Molecules: An Efficient, General, and Spin-Adapted Approach Based on a Restricted Open-Shell Ground State Wave function > scholarly article > scientific publication > publication",context,context,no
